geo_level,geo_name,pct_black_alone,reason_for_unemployment,population_group,race_or_ethnicity,unemployed_population_per_100_people,quartiles_action_race,bls_year,acs_year
state,Alabama,26.1,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Alabama,26.1,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Alabama,26.1,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Alabama,26.1,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Alabama,26.1,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Alabama,26.1,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Alaska,3.1,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Alaska,3.1,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.123,Top 25% of geographies,2024,2023
state,Alaska,3.1,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Alaska,3.1,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Alaska,3.1,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Alaska,3.1,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Arizona,4.6,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.402,26-50% of geographies,2024,2023
state,Arizona,4.6,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,3.603,26-50% of geographies,2024,2023
state,Arizona,4.6,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.801,Bottom 25% of geographies,2024,2023
state,Arizona,4.6,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Arizona,4.6,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.4,Bottom 25% of geographies,2024,2023
state,Arizona,4.6,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.4,51-75% of geographies,2024,2023
state,Arkansas,14.9,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Arkansas,14.9,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Arkansas,14.9,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
