"Low Wage, High Violation Industries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2024,,,,FY 2023,,,,FY 2022,,,,FY 2021,,,,FY 2020,,,,FY 2019,,,,FY 2018,,,,FY 2017,,,,FY 2016,,,,FY 2015,,,,FY 2014,,,,FY 2013,,,
,Compliance Actions,Back Wages,Employees Receiving Back Wages Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed,Compliance Actions,Back Wages,Employees Receiving Back Wages,CMPs Assessed
Agriculture,659,"$6,871,957","9,581","$7,740,266",831,"$6,892,220 ","7,341","$6,615,582 ",879,"$5,815,943 ","8,260","$7,983,598 ","1,000","$8,432,451 ","10,379","$7,302,892 ","1,038","$7,173,091 ","11,176","$6,412,046 ","1,125","$6,060,914 ","8,972","$6,329,648 ","1,076","$4,208,090 ","9,015","$6,545,200 ","1,307","$5,047,521 ","7,304","$4,340,736 ","1,275","$4,844,841 ","10,549","$3,537,889 ","1,361","$4,316,681 ","10,025","$5,062,647 ",1430,"$4,502,976 ",12031,"$3,094,341 ","1,673","$7,642,501 ","11,799","7,274,010"
Amusement,125,"$322,541",444,"$637,002",173,"$267,238 ",573,"$766,340 ",182,"$420,904 ",665,"$331,938 ",287,"$1,208,259 ","1,063","$506,868 ",233,"$730,081 ","1,432","$415,088 ",214,"$1,421,509 ","17,531","$691,615 ",261,"$1,057,295 ","1,823","$155,469 ",214,"$924,267 ","2,038","$113,501 ",206,"$602,061 ",967,"$254,356 ",278,"$1,319,408 ","3,286","$124,473 ",373,"$1,313,546 ",2378,"$214,133 ",342,"$1,784,904 ","2,260","$83,088 "
Animal Processing,26,"$346,444","1,068","$254,702",38,"$887,866 ",759,"$13,298 ",45,"$621,436 ",846,"$39,750 ",51,"$439,674 ",527,"$64,467 ",56,"$833,537 ","1,550","$82,360 ",50,"$1,142,031 ",747,"$205,432 ",59,"$589,639 ",998,"$112,035 ",52,"$444,973 ","1,109","$42,943 ",55,"$497,280 ",821,"$24,600 ",53,"$340,802 ",740,"$4,000 ",41,"$690,177 ",851,"$330,734 ",48,"$828,807 ","1,019","$103,982 "
Apparel Manufacturing,46,"$547,649",208,"$27,977",53,"$594,618 ",178,"$24,563 ",114,"$989,237 ",359,"$39,830 ",76,"$1,305,534 ",588,$0 ,128,"$1,690,750 ",829,"$36,166 ",166,"$2,150,438 ","1,160","$107,456 ",168,"$1,453,943 ",820,"$1,210 ",182,"$2,817,349 ","2,356","$85,147 ",276,"$3,883,135 ","2,566","$332,819 ",200,"$1,594,928 ","1,275","$241,906 ",240,"$3,095,832 ",1673,"$104,370 ",336,"$3,597,940 ","2,539","$560,197 "
Auto Repair,229,"$1,351,716","1,201","$72,259",250,"$1,777,967 ","1,202","$54,609 ",308,"$1,334,622 ","1,249","$47,043 ",546,"$4,350,665 ","3,564","$475,220 ",450,"$2,914,022 ","2,472","$115,488 ",397,"$2,691,701 ","3,128","$92,983 ",359,"$2,490,089 ","2,421","$87,104 ",421,"$3,986,360 ","2,912","$255,198 ",516,"$4,265,193 ","4,650","$236,714 ",499,"$3,089,062 ","4,867","$56,848 ",452,"$4,614,729 ",5422,"$226,874 ",465,"$5,268,483 ","3,560","$99,182 "
Child Care Services,333,"$429,396",920,"$23,228",372,"$618,719 ","1,411","$13,133 ",347,"$545,157 ","1,190","$20,851 ",435,"$832,770 ","1,523","$202,464 ",449,"$996,563 ","2,122","$126,916 ",723,"$1,470,506 ","3,480","$43,697 ",836,"$1,360,959 ","3,612","$39,594 ",836,"$1,234,587 ","3,882","$59,965 ",812,"$1,640,980 ","3,944","$30,194 ",852,"$1,642,924 ","3,992","$63,867 ",1144,"$1,875,156 ",5812,"$67,139 ","1,125","$2,183,958 ","5,640","$56,183 "
Construction,"1,966","$32,092,812","18,035","$1,843,087","2,134","$35,558,598 ","17,944","$1,784,916 ","2,268","$32,913,795 ","17,127","$2,150,996 ","3,034","$36,068,080 ","21,341","$2,430,279 ","3,049","$34,696,579 ","24,882","$1,025,371 ","3,063","$48,314,281 ","38,218","$1,534,307 ","3,018","$38,829,435 ","25,679","$1,264,663 ","2,959","$49,347,770 ","26,514","$940,917 ","3,120","$41,717,849 ","26,866","$1,030,774 ","3,106","$42,163,497 ","27,850","$799,221 ",3244,"$45,440,475 ",26157,"$473,567 ","3,709","$44,673,371 ","25,045","$667,458 "
Food Services,"3,827","$35,141,615","27,537","$13,612,532","4,095","$29,648,592 ","25,908","$6,121,334 ","3,840","$27,142,447 ","22,531","$4,034,272 ","4,237","$34,741,032 ","29,209","$3,175,537 ","4,647","$38,675,283 ","39,555","$3,207,421 ","5,417","$36,039,626 ","41,863","$3,482,527 ","5,751","$42,873,337 ","41,103","$3,085,273 ","5,446","$42,936,552 ","44,363","$2,202,307 ","4,975","$39,754,569 ","44,707","$2,261,606 ","4,787","$38,098,095 ","46,902","$1,615,917 ",5118,"$34,451,990 ",44133,"$1,519,615 ","6,053","$34,863,786 ","47,861","$1,573,781 "
Guard Services,577,"$3,668,661","4,067","$362,654",638,"$5,250,544 ","4,913","$207,243 ",607,"$3,900,935 ","4,606","$593,049 ",497,"$6,252,652 ","5,343","$95,577 ",567,"$6,692,059 ","6,246","$167,118 ",597,"$6,771,936 ","12,553","$626,339 ",580,"$10,014,706 ","10,569","$151,422 ",591,"$5,273,458 ","7,010","$273,469 ",559,"$5,229,747 ","12,667","$307,291 ",499,"$4,744,910 ","6,824","$268,406 ",475,"$5,659,936 ",6729,"$225,758 ",643,"$12,923,237 ","8,736","$162,723 "
